Model,Critical,Naive,Improvement
anthropic/claude-3.5-haiku,45.45454545454545,18.181818181818183,27.27272727272727
anthropic/claude-3.5-sonnet,81.81818181818183,27.27272727272727,54.54545454545456
anthropic/claude-haiku-4.5,81.81818181818183,27.27272727272727,54.54545454545456
anthropic/claude-sonnet-4,81.81818181818183,9.090909090909092,72.72727272727273
anthropic/claude-sonnet-4.5,81.81818181818183,36.36363636363637,45.45454545454546
google/gemini-2.5-flash,81.81818181818183,18.181818181818183,63.63636363636364
google/gemini-2.5-pro,81.81818181818183,9.090909090909092,72.72727272727273
google/gemini-3-pro-preview,81.81818181818183,18.181818181818183,63.63636363636364
openai/gpt-4o,81.81818181818183,18.181818181818183,63.63636363636364
openai/gpt-4o-mini,63.63636363636363,18.181818181818183,45.45454545454545
openai/gpt-5,81.81818181818183,18.181818181818183,63.63636363636364
openai/gpt-5.1,81.81818181818183,18.181818181818183,63.63636363636364
openai/gpt-5.2,81.81818181818183,18.181818181818183,63.63636363636364
