Model,Average Consumer,Consumer Advocate,Improvement
anthropic/claude-3.5-haiku,18.181818181818183,10.0,-8.181818181818183
anthropic/claude-3.5-sonnet,60.0,50.0,-10.0
anthropic/claude-haiku-4.5,45.45454545454545,72.72727272727273,27.27272727272728
anthropic/claude-sonnet-4,45.45454545454545,63.63636363636363,18.18181818181818
anthropic/claude-sonnet-4.5,54.54545454545454,54.54545454545454,0.0
google/gemini-2.5-flash,18.181818181818183,63.63636363636363,45.45454545454545
google/gemini-2.5-pro,45.45454545454545,63.63636363636363,18.18181818181818
google/gemini-3-pro-preview,27.27272727272727,63.63636363636363,36.36363636363636
openai/gpt-4o,18.181818181818183,27.27272727272727,9.090909090909086
openai/gpt-4o-mini,10.0,18.181818181818183,8.181818181818183
openai/gpt-5,45.45454545454545,63.63636363636363,18.18181818181818
openai/gpt-5.1,27.27272727272727,63.63636363636363,36.36363636363636
openai/gpt-5.2,36.36363636363637,63.63636363636363,27.272727272727266
