model,condition,mean,sd,median,iqr,n
anthropic/claude-haiku-4.5,AVERAGE_CONSUMER,3.4444444444444446,0.8819171036881968,4.0,1.0,9
anthropic/claude-haiku-4.5,CONSUMER_ADVOCATE,2.2222222222222223,0.4409585518440984,2.0,0.0,9
anthropic/claude-opus-4.6,AVERAGE_CONSUMER,3.6666666666666665,0.5,4.0,1.0,9
anthropic/claude-opus-4.6,CONSUMER_ADVOCATE,2.0,0.0,2.0,0.0,9
google/gemini-2.5-flash,AVERAGE_CONSUMER,5.0,0.0,5.0,0.0,8
google/gemini-2.5-flash,CONSUMER_ADVOCATE,2.3333333333333335,0.5,2.0,1.0,9
google/gemini-3-pro-preview,AVERAGE_CONSUMER,5.0,0.0,5.0,0.0,9
google/gemini-3-pro-preview,CONSUMER_ADVOCATE,1.3333333333333333,0.5,1.0,1.0,9
openai/gpt-4o-mini,AVERAGE_CONSUMER,5.0,0.0,5.0,0.0,9
openai/gpt-4o-mini,CONSUMER_ADVOCATE,3.888888888888889,0.33333333333333337,4.0,0.0,9
openai/gpt-5.2,AVERAGE_CONSUMER,4.555555555555555,0.5270462766947298,5.0,1.0,9
openai/gpt-5.2,CONSUMER_ADVOCATE,2.5555555555555554,0.5270462766947298,3.0,1.0,9
